id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
572563;1271169.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;2;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Passageiro;Ileso;15.0;Feminino;1.0;0.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271167.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;2;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Passageiro;Lesões Graves;43.0;Masculino;0.0;0.0;1.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271168.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;2;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Passageiro;Lesões Graves;12.0;Feminino;0.0;0.0;1.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271166.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;2;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Condutor;Lesões Leves;44.0;Feminino;0.0;1.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271164.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;2;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019629.0;Motocicleta;HONDA/CG 125 FAN KS;2010.0;Condutor;Lesões Leves;36.0;Masculino;0.0;1.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271165.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;2;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019628.0;Caminhão;M.BENZ/ATEGO 2425;2011.0;Condutor;Ileso;71.0;Masculino;1.0;0.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271169.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Passageiro;Ileso;15.0;Feminino;1.0;0.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271167.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Passageiro;Lesões Graves;43.0;Masculino;0.0;0.0;1.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271168.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Passageiro;Lesões Graves;12.0;Feminino;0.0;0.0;1.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271166.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019627.0;Automóvel;HONDA/FIT LX CVT;2017.0;Condutor;Lesões Leves;44.0;Feminino;0.0;1.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271164.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019629.0;Motocicleta;HONDA/CG 125 FAN KS;2010.0;Condutor;Lesões Leves;36.0;Masculino;0.0;1.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
572563;1271165.0;2024-01-04;quinta-feira;11:50:00;BA;418.0;96;NOVA VICOSA;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1019628.0;Caminhão;M.BENZ/ATEGO 2425;2011.0;Condutor;Ileso;71.0;Masculino;1.0;0.0;0.0;0.0;-17.886432;-39.87806;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
581560;1294226.0;2024-02-16;sexta-feira;19:30:00;BA;418.0;107;NOVA VICOSA;Sim;Deficiência do Sistema de Iluminação/Sinalização;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Não;1036752.0;Trator de rodas;Não Informado/Não Informado;0.0;Condutor;Ileso;;Ignorado;1.0;0.0;0.0;0.0;-17.89663273;-40.02742396;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
581560;1294222.0;2024-02-16;sexta-feira;19:30:00;BA;418.0;107;NOVA VICOSA;Sim;Deficiência do Sistema de Iluminação/Sinalização;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Não;1036751.0;Automóvel;GM/CELTA 4P LIFE;2008.0;Condutor;Ileso;38.0;Masculino;1.0;0.0;0.0;0.0;-17.89663273;-40.02742396;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
581560;1294224.0;2024-02-16;sexta-feira;19:30:00;BA;418.0;107;NOVA VICOSA;Sim;Deficiência do Sistema de Iluminação/Sinalização;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Não;1036751.0;Automóvel;GM/CELTA 4P LIFE;2008.0;Passageiro;Lesões Leves;43.0;Feminino;0.0;1.0;0.0;0.0;-17.89663273;-40.02742396;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
