id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
571806;1269735.0;2024-01-01;segunda-feira;04:30:00;BA;116.0;578;BREJOES;Sim;Ingestão de álcool pelo condutor;1;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1018705.0;Caminhão-trator;SCANIA/R450 A6X2;2021.0;Condutor;Ileso;45.0;Masculino;1.0;0.0;0.0;0.0;-13.07158302;-39.9611107;SPRF-BA;DEL03-BA;UOP02-DEL03-BA
571806;1269732.0;2024-01-01;segunda-feira;04:30:00;BA;116.0;578;BREJOES;Sim;Ingestão de álcool pelo condutor;1;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1018704.0;Motocicleta;HONDA/CG 125 FAN;2008.0;Condutor;Óbito;44.0;Masculino;0.0;0.0;0.0;1.0;-13.07158302;-39.9611107;SPRF-BA;DEL03-BA;UOP02-DEL03-BA
571806;;2024-01-01;segunda-feira;04:30:00;BA;116.0;578;BREJOES;Sim;Ingestão de álcool pelo condutor;1;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1018745.0;Semireboque;SR/LIBRELATO SRCA 2E;2022.0;;;;;;;;;-13.07158302;-39.9611107;SPRF-BA;DEL03-BA;UOP02-DEL03-BA
571806;;2024-01-01;segunda-feira;04:30:00;BA;116.0;578;BREJOES;Sim;Ingestão de álcool pelo condutor;1;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;1018747.0;Semireboque;SR/LIBRELATO SRCD 2E;2022.0;;;;;;;;;-13.07158302;-39.9611107;SPRF-BA;DEL03-BA;UOP02-DEL03-BA
571910;1269450.0;2024-01-01;segunda-feira;15:45:00;BA;116.0;852,9;VITORIA DA CONQUISTA;Não;Avarias e/ou desgaste excessivo no pneu;2;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;1018490.0;Caminhão;VW/24.250CN PMERECHIM 82;2008.0;Passageiro;Ileso;41.0;Feminino;1.0;0.0;0.0;0.0;-15.0196651;-40.94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
571910;1269378.0;2024-01-01;segunda-feira;15:45:00;BA;116.0;852,9;VITORIA DA CONQUISTA;Não;Avarias e/ou desgaste excessivo no pneu;2;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;1018490.0;Caminhão;VW/24.250CN PMERECHIM 82;2008.0;Condutor;Ileso;50.0;Masculino;1.0;0.0;0.0;0.0;-15.0196651;-40.94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
571910;1269379.0;2024-01-01;segunda-feira;15:45:00;BA;116.0;852,9;VITORIA DA CONQUISTA;Não;Avarias e/ou desgaste excessivo no pneu;2;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;1018491.0;Automóvel;FIAT/SIENA ATTRACTIV 1.4;2013.0;Passageiro;Óbito;25.0;Masculino;0.0;0.0;0.0;1.0;-15.0196651;-40.94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
571910;1269380.0;2024-01-01;segunda-feira;15:45:00;BA;116.0;852,9;VITORIA DA CONQUISTA;Não;Avarias e/ou desgaste excessivo no pneu;2;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;1018491.0;Automóvel;FIAT/SIENA ATTRACTIV 1.4;2013.0;Condutor;Óbito;47.0;Feminino;0.0;0.0;0.0;1.0;-15.0196651;-40.94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
571910;1269450.0;2024-01-01;segunda-feira;15:45:00;BA;116.0;852,9;VITORIA DA CONQUISTA;Sim;Chuva;2;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;1018490.0;Caminhão;VW/24.250CN PMERECHIM 82;2008.0;Passageiro;Ileso;41.0;Feminino;1.0;0.0;0.0;0.0;-15.0196651;-40.94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
571910;1269378.0;2024-01-01;segunda-feira;15:45:00;BA;116.0;852,9;VITORIA DA CONQUISTA;Sim;Chuva;2;Saída de leito carroçável;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;1018490.0;Caminhão;VW/24.250CN PMERECHIM 82;2008.0;Condutor;Ileso;50.0;Masculino;1.0;0.0;0.0;0.0;-15.0196651;-40.94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
