id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
573049;1273126.0;2024-01-06;sábado;22:30:00;BA;415.0;19,4;ILHEUS;Sim;Transitar no Acostamento;1;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;1020525.0;Automóvel;Não Informado/Não Informado;0.0;Condutor;Não Informado;;Não Informado;0.0;0.0;0.0;0.0;-14.8482;-39.281986;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
573049;1272447.0;2024-01-06;sábado;22:30:00;BA;415.0;19,4;ILHEUS;Sim;Transitar no Acostamento;1;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;;;NA/NA;;Pedestre;Óbito;;Masculino;0.0;0.0;0.0;1.0;-14.8482;-39.281986;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
574642;1277006.0;2024-01-14;domingo;09:49:00;BA;415.0;26,4;ILHEUS;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;1023489.0;Bicicleta;Não Informado/Não Informado;0.0;Condutor;Lesões Graves;54.0;Masculino;0.0;0.0;1.0;0.0;-14.797374;-39.197339;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
574642;1277004.0;2024-01-14;domingo;09:49:00;BA;415.0;26,4;ILHEUS;Sim;Reação tardia ou ineficiente do condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;1023488.0;Caminhão;VW/13.180 CNM;2008.0;Condutor;Ileso;24.0;Masculino;1.0;0.0;0.0;0.0;-14.797374;-39.197339;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
575928;1280774.0;2024-01-20;sábado;09:10:00;BA;415.0;47;ITABUNA;Não;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Sim;1026571.0;Caminhonete;FIAT/TORO FREEDOM AT9;2016.0;Condutor;Ileso;47.0;Masculino;1.0;0.0;0.0;0.0;-14.81695319;-39.30075645;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
575928;1280775.0;2024-01-20;sábado;09:10:00;BA;415.0;47;ITABUNA;Não;Acessar a via sem observar a presença dos outros veículos;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Sim;1026569.0;Motocicleta;HONDA/CG150 TITAN MIX ES;2010.0;Condutor;Lesões Leves;50.0;Masculino;0.0;1.0;0.0;0.0;-14.81695319;-39.30075645;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
575928;1280774.0;2024-01-20;sábado;09:10:00;BA;415.0;47;ITABUNA;Sim;Ausência de sinalização;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Sim;1026571.0;Caminhonete;FIAT/TORO FREEDOM AT9;2016.0;Condutor;Ileso;47.0;Masculino;1.0;0.0;0.0;0.0;-14.81695319;-39.30075645;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
575928;1280775.0;2024-01-20;sábado;09:10:00;BA;415.0;47;ITABUNA;Sim;Ausência de sinalização;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Interseção de Vias;Reta";Sim;1026569.0;Motocicleta;HONDA/CG150 TITAN MIX ES;2010.0;Condutor;Lesões Leves;50.0;Masculino;0.0;1.0;0.0;0.0;-14.81695319;-39.30075645;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
578046;1285419.0;2024-01-30;terça-feira;15:00:00;BA;415.0;58;ITABUNA;Sim;Demais falhas mecânicas ou elétricas;1;Incêndio;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1030105.0;Caminhão;M.BENZ/L 1620;2005.0;Condutor;Ileso;58.0;Masculino;1.0;0.0;0.0;0.0;-14.856288;-39.395367;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
579741;1289613.0;2024-02-08;quinta-feira;07:20:00;BA;415.0;52;ITABUNA;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Não;1033383.0;Automóvel;FORD/KA SE 1.0 HA B;2018.0;Condutor;Ileso;26.0;Masculino;1.0;0.0;0.0;0.0;-14.843331;-39.334614;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
