id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
573557;1273953.0;2024-01-09;terça-feira;08:20:00;BA;349.0;940;CORRENTINA;Sim;Ausência de reação do condutor;1;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1021534.0;Automóvel;FIAT/SIENA ATTRACTIV 1.4;2015.0;Condutor;Óbito;37.0;Masculino;0.0;0.0;0.0;1.0;-13.34775335;-44.63734466;SPRF-BA;DEL08-BA;
573557;1273952.0;2024-01-09;terça-feira;08:20:00;BA;349.0;940;CORRENTINA;Sim;Ausência de reação do condutor;1;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1021531.0;Caminhão-trator;M.BENZ/LS 1941;1990.0;Condutor;Ileso;69.0;Masculino;1.0;0.0;0.0;0.0;-13.34775335;-44.63734466;SPRF-BA;DEL08-BA;
573557;;2024-01-09;terça-feira;08:20:00;BA;349.0;940;CORRENTINA;Sim;Ausência de reação do condutor;1;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1021903.0;Semireboque;REB/KRONE;1994.0;;;;;;;;;-13.34775335;-44.63734466;SPRF-BA;DEL08-BA;
599511;1337019.0;2024-05-10;sexta-feira;16:00:00;BA;349.0;960;CORRENTINA;Não;Ausência de reação do condutor;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Reta;Não;1071075.0;Caminhão;VW/24.250 CNC 6X2;2011.0;Condutor;Ileso;28.0;Masculino;1.0;0.0;0.0;0.0;-13.61752911;-45.28060914;SPRF-BA;DEL08-BA;
599511;1337020.0;2024-05-10;sexta-feira;16:00:00;BA;349.0;960;CORRENTINA;Não;Ausência de reação do condutor;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Reta;Não;1071076.0;Caminhão;VW/17.190 CRM 4X2 ROB;2021.0;Condutor;Lesões Graves;41.0;Masculino;0.0;0.0;1.0;0.0;-13.61752911;-45.28060914;SPRF-BA;DEL08-BA;
599511;1337019.0;2024-05-10;sexta-feira;16:00:00;BA;349.0;960;CORRENTINA;Sim;Demais falhas mecânicas ou elétricas;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Reta;Não;1071075.0;Caminhão;VW/24.250 CNC 6X2;2011.0;Condutor;Ileso;28.0;Masculino;1.0;0.0;0.0;0.0;-13.61752911;-45.28060914;SPRF-BA;DEL08-BA;
599511;1337020.0;2024-05-10;sexta-feira;16:00:00;BA;349.0;960;CORRENTINA;Sim;Demais falhas mecânicas ou elétricas;1;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Reta;Não;1071076.0;Caminhão;VW/17.190 CRM 4X2 ROB;2021.0;Condutor;Lesões Graves;41.0;Masculino;0.0;0.0;1.0;0.0;-13.61752911;-45.28060914;SPRF-BA;DEL08-BA;
600593;;2024-05-14;terça-feira;17:10:00;BA;349.0;1043;CORRENTINA;Sim;Reação tardia ou ineficiente do condutor;2;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1072961.0;Semireboque;SR/LIBRELATO SRBA 3E;2005.0;;;;;;;;;-13.798735;-46.164127;SPRF-BA;DEL08-BA;
600593;1339449.0;2024-05-14;terça-feira;17:10:00;BA;349.0;1043;CORRENTINA;Sim;Reação tardia ou ineficiente do condutor;2;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1072960.0;Caminhão-trator;M.BENZ/LS 1935;1994.0;Condutor;Lesões Leves;36.0;Masculino;0.0;1.0;0.0;0.0;-13.798735;-46.164127;SPRF-BA;DEL08-BA;
600593;;2024-05-14;terça-feira;17:10:00;BA;349.0;1043;CORRENTINA;Sim;Reação tardia ou ineficiente do condutor;1;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1072961.0;Semireboque;SR/LIBRELATO SRBA 3E;2005.0;;;;;;;;;-13.798735;-46.164127;SPRF-BA;DEL08-BA;
